0,0.09
1,0.135
2,0.125
3,0.08
4,0.095
5,0.15
6,0.125
7,0.125
8,0.15
9,0.14
10,0.11
11,0.135
12,0.145
13,0.1
14,0.13
15,0.085
16,0.1
17,0.08
18,0.1
19,0.095
20,0.1
21,0.155
22,0.135
23,0.165
24,0.14
25,0.185
26,0.14
27,0.18
28,0.14
29,0.165
30,0.165
31,0.165
32,0.175
33,0.2
34,0.105
35,0.155
36,0.105
37,0.135
38,0.09
39,0.105
40,0.135
41,0.045
42,0.055
43,0.05
44,0.095
45,0.12
46,0.12
47,0.07
48,0.16
49,0.12
50,0.095
51,0.13
52,0.12
53,0.1
54,0.14
55,0.12
56,0.135
57,0.06
58,0.125
59,0.105
60,0.11
61,0.13
62,0.095
63,0.12
64,0.12
65,0.16
66,0.185
67,0.12
68,0.07
69,0.13
70,0.11
71,0.17
72,0.175
73,0.195
74,0.15
75,0.14
76,0.15
77,0.14
78,0.17
79,0.14
80,0.175
81,0.165
82,0.16
83,0.14
84,0.18
85,0.14
86,0.16
87,0.13
88,0.16
89,0.135
90,0.15
91,0.175
92,0.165
93,0.19
94,0.195
95,0.15
96,0.13
97,0.13
98,0.125
99,0.095
100,0.145
101,0.16
102,0.14
103,0.16
104,0.155
105,0.165
106,0.125
107,0.135
108,0.105
109,0.125
110,0.105
111,0.08
112,0.105
113,0.125
114,0.115
115,0.135
116,0.105
117,0.15
118,0.085
119,0.105
120,0.085
121,0.14
122,0.075
123,0.08
124,0.06
125,0.09
126,0.085
127,0.16
128,0.165
129,0.165
130,0.125
131,0.09
132,0.095
133,0.065
134,0.115
135,0.08
136,0.09
137,0.11
138,0.095
139,0.155
140,0.145
141,0.19
142,0.155
143,0.13
144,0.125
145,0.12
146,0.08
147,0.055
148,0.095
149,0.145
150,0.185
151,0.19
152,0.16
153,0.135
154,0.13
155,0.19
156,0.215
157,0.17
158,0.165
159,0.165
160,0.16
161,0.175
162,0.21
163,0.23
164,0.19
165,0.175
166,0.205
167,0.22
168,0.175
169,0.215
170,0.145
171,0.155
172,0.115
173,0.04
174,0.09
175,0.06
176,0.085
177,0.045
178,0.15
179,0.18
180,0.175
181,0.16
182,0.175
183,0.2
184,0.19
185,0.15
186,0.185
187,0.16
188,0.17
189,0.18
190,0.17
191,0.15
192,0.085
193,0.14
194,0.155
195,0.15
196,0.185
197,0.16
198,0.185
199,0.12
200,0.165
201,0.145
202,0.17
203,0.115
204,0.14
205,0.11
206,0.11
207,0.17
208,0.095
209,0.145
210,0.09
211,0.105
212,0.14
213,0.16
214,0.14
215,0.13
216,0.12
217,0.135
218,0.13
219,0.125
220,0.145
221,0.15
222,0.15
223,0.105
224,0.135
225,0.125
226,0.085
227,0.165
228,0.16
229,0.135
230,0.175
231,0.215
232,0.075
233,0.135
234,0.08
235,0.01
236,0.03
237,0.03
238,0.035
239,0.16
240,0.07
241,0.065
242,0.08
243,0.085
244,0.085
245,0.08
246,0.085
247,0.075
248,0.11
249,0.105
250,0.18
251,0.155
252,0.185
253,0.165
254,0.175
255,0.185
256,0.16
257,0.17
258,0.16
259,0.155
260,0.125
261,0.165
262,0.06
263,0.08
264,0.13
265,0.15
266,0.11
267,0.15
268,0.125
269,0.215
270,0.2
271,0.205
272,0.225
273,0.155
274,0.215
275,0.185
276,0.24
277,0.205
278,0.135
279,0.185
280,0.105
281,0.12
282,0.14
283,0.175
284,0.17
285,0.155
286,0.155
287,0.125
288,0.16
289,0.18
290,0.21
291,0.165
292,0.175
293,0.195
294,0.085
295,0.075
296,0.085
297,0.14
298,0.105
299,0.095
